questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT17-S2-Q22,deepseek/deepseek-r1,minimal,1,D,D,true,3402,
PT17-S2-Q22,deepseek/deepseek-r1,minimal,2,D,D,true,1290,
PT17-S2-Q22,deepseek/deepseek-r1,minimal,3,D,D,true,1269,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,1,E,E,true,1198,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,2,E,E,true,1341,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,3,E,E,true,1486,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,1,A,A,true,1260,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,2,A,A,true,1472,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,3,A,A,true,1801,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,1,C,C,true,1741,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,2,C,C,true,2378,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,3,C,C,true,1503,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,1,C,C,true,1426,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,2,C,C,true,1400,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,3,C,C,true,1291,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,1,D,D,true,1320,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,2,D,D,true,1204,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,3,D,D,true,1164,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,1,D,D,true,1959,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,2,D,D,true,1478,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,3,D,D,true,1379,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,1,A,A,true,1511,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,2,A,A,true,1309,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,3,A,A,true,1833,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,1,E,E,true,1555,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,2,E,E,true,2567,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,3,E,C,false,2808,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,1,D,D,true,1221,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,2,D,D,true,1052,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,3,D,D,true,1775,
