id,section,qnum,type,family,primaryMethods,sourceFile,questionStem
PT88-S1-Q01,1,1,point_at_issue,dual_structure,parallel_bridge|dispute_locate,PT88_no_answers_fixed.json,The issue in dispute between Powell and Freeman is the
PT88-S1-Q02,1,2,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,the argument fails to demonstrate that
PT88-S1-Q03,1,3,most_supported,inference,highlight|lego|venn|substitution,PT88_no_answers_fixed.json,"The statements above, if true, support which one of the following inferences?"
PT88-S1-Q04,1,4,weaken,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,"Which one of the following, if true, indicates that the criticism of Yasukawa’s research is based on a misunderstanding of it?"
PT88-S1-Q05,1,5,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,most strongly supports the explanation above?
PT88-S1-Q06,1,6,method_of_reasoning,argument_structure,argument_chain,PT88_no_answers_fixed.json,proceeds by
PT88-S1-Q07,1,7,resolve,dual_structure,parallel_bridge|dispute_locate,PT88_no_answers_fixed.json,most helps to resolve the apparent discrepancy in the information above?
PT88-S1-Q08,1,8,weaken,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,"Which one of the following, if true, most calls into question the officials’ argument?"
PT88-S1-Q09,1,9,must_be_true,inference,highlight|lego|venn|substitution,PT88_no_answers_fixed.json,which one of the following must be true?
PT88-S1-Q10,1,10,weaken,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,"Which one of the following, if true, most seriously calls into question the accountant’s argument?"
PT88-S1-Q11,1,11,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,the argument above?
PT88-S1-Q12,1,12,most_supported,inference,highlight|lego|venn|substitution,PT88_no_answers_fixed.json,Which one of the following is most strongly supported by the information above?
PT88-S1-Q13,1,13,assumption_necessary,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,the argument depends?
PT88-S1-Q14,1,14,role,argument_structure,argument_chain,PT88_no_answers_fixed.json,plays which one of the following roles in the critic’s argument?
PT88-S1-Q15,1,15,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,which one of the following ways?
PT88-S1-Q16,1,16,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,the argument’s conclusion?
PT88-S1-Q17,1,17,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,the argument?
PT88-S1-Q18,1,18,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT88_no_answers_fixed.json,"Which one of the following, if true, provides the strongest additional support for the hypotheses above?"
