id,section,qnum,type,family,primaryMethods,sourceFile,questionStem
PT90-S1-Q01,1,1,point_at_issue,dual_structure,parallel_bridge|dispute_locate,PT90_no_answers.json,Which one of the following is the point at issue between the politician and the smoker?
PT90-S1-Q02,1,2,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,The smoker’s response to the politician’s argument
PT90-S1-Q03,1,3,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Each of the following, if true, strengthens the argument above EXCEPT:"
PT90-S1-Q04,1,4,resolve,dual_structure,parallel_bridge|dispute_locate,PT90_no_answers.json,"Which one of the following, if true, most helps to resolve the apparent paradox described above?"
PT90-S1-Q05,1,5,assumption_necessary,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,Which one of the following is an assumption on which Barnes’s argument depends?
PT90-S1-Q06,1,6,must_be_true,inference,highlight|lego|venn|substitution,PT90_no_answers.json,Which one of the following can be properly concluded from the passage?
PT90-S1-Q07,1,7,flaw,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,Which one of the following most accurately describes a flaw in the skeptic’s reasoning?
PT90-S1-Q08,1,8,most_supported,inference,highlight|lego|venn|substitution,PT90_no_answers.json,Which one of the following is most strongly supported by the nutritionist’s statements?
PT90-S1-Q09,1,9,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,which one of the following propositions?
PT90-S1-Q10,1,10,resolve,dual_structure,parallel_bridge|dispute_locate,PT90_no_answers.json,"Which one of the following, if true, most helps resolve the apparent discrepancy in the information above?"
PT90-S1-Q11,1,11,main_conclusion,argument_structure,argument_chain,PT90_no_answers.json,the main point of the argument?
PT90-S1-Q12,1,12,method_of_reasoning,argument_structure,argument_chain,PT90_no_answers.json,Which one of the following accurately describes the argumentative strategy employed?
PT90-S1-Q13,1,13,parallel,structure_matching,formula|abstract_mapping|venn,PT90_no_answers.json,the argument above is LEAST similar to that in which one of the following?
PT90-S1-Q14,1,14,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,which one of the following possibilities?
PT90-S1-Q15,1,15,assumption_necessary,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,Which one of the following is an assumption on which the argument depends?
PT90-S1-Q16,1,16,weaken,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Which one of the following, if true, most seriously weakens the argument?"
PT90-S1-Q17,1,17,weaken,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,The argument’s reasoning is most vulnerable to criticism on which one of the following grounds?
PT90-S1-Q18,1,18,must_be_true,inference,highlight|lego|venn|substitution,PT90_no_answers.json,"the statements above are true, which one of the following must also be true?"
PT90-S1-Q19,1,19,principle_apply,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,Which one of the following principles underlies the arbitrator’s argument?
PT90-S1-Q20,1,20,assumption_sufficient,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Which one of the following, if assumed, would allow the conclusion above to be properly drawn?"
PT90-S1-Q21,1,21,must_be_true,inference,highlight|lego|venn|substitution,PT90_no_answers.json,which one of the following must also be true on the basis of those statements?
PT90-S1-Q22,1,22,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Which one of the following principles, if valid, most helps to justify the editorial’s argumentation?"
