questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT88-S1-Q01,deepseek/deepseek-r1,minimal,1,B,B,true,2998,
PT88-S1-Q01,deepseek/deepseek-r1,minimal,2,B,B,true,1348,
PT88-S1-Q01,deepseek/deepseek-r1,minimal,3,B,B,true,2046,
PT88-S1-Q02,deepseek/deepseek-r1,minimal,1,D,D,true,1315,
PT88-S1-Q02,deepseek/deepseek-r1,minimal,2,D,D,true,1344,
PT88-S1-Q02,deepseek/deepseek-r1,minimal,3,D,D,true,1517,
PT88-S1-Q03,deepseek/deepseek-r1,minimal,1,D,D,true,1571,
PT88-S1-Q03,deepseek/deepseek-r1,minimal,2,D,D,true,1249,
PT88-S1-Q03,deepseek/deepseek-r1,minimal,3,D,D,true,1742,
PT88-S1-Q04,deepseek/deepseek-r1,minimal,1,A,A,true,1521,
PT88-S1-Q04,deepseek/deepseek-r1,minimal,2,A,A,true,1124,
PT88-S1-Q04,deepseek/deepseek-r1,minimal,3,A,A,true,1371,
PT88-S1-Q05,deepseek/deepseek-r1,minimal,1,C,C,true,1299,
PT88-S1-Q05,deepseek/deepseek-r1,minimal,2,C,C,true,1436,
PT88-S1-Q05,deepseek/deepseek-r1,minimal,3,C,C,true,1333,
PT88-S1-Q06,deepseek/deepseek-r1,minimal,1,C,C,true,1531,
PT88-S1-Q06,deepseek/deepseek-r1,minimal,2,C,C,true,1142,
PT88-S1-Q06,deepseek/deepseek-r1,minimal,3,C,C,true,1842,
PT88-S1-Q07,deepseek/deepseek-r1,minimal,1,C,C,true,1336,
PT88-S1-Q07,deepseek/deepseek-r1,minimal,2,C,C,true,1125,
PT88-S1-Q07,deepseek/deepseek-r1,minimal,3,C,C,true,1724,
PT88-S1-Q08,deepseek/deepseek-r1,minimal,1,B,B,true,1682,
PT88-S1-Q08,deepseek/deepseek-r1,minimal,2,B,B,true,1408,
PT88-S1-Q08,deepseek/deepseek-r1,minimal,3,B,B,true,1052,
PT88-S1-Q09,deepseek/deepseek-r1,minimal,1,A,A,true,1187,
PT88-S1-Q09,deepseek/deepseek-r1,minimal,2,A,A,true,1548,
PT88-S1-Q09,deepseek/deepseek-r1,minimal,3,A,A,true,1243,
PT88-S1-Q10,deepseek/deepseek-r1,minimal,1,E,E,true,1717,
PT88-S1-Q10,deepseek/deepseek-r1,minimal,2,E,E,true,1638,
PT88-S1-Q10,deepseek/deepseek-r1,minimal,3,E,E,true,1353,
PT88-S1-Q11,deepseek/deepseek-r1,minimal,1,B,B,true,1540,
PT88-S1-Q11,deepseek/deepseek-r1,minimal,2,B,B,true,1304,
PT88-S1-Q11,deepseek/deepseek-r1,minimal,3,B,B,true,1609,
PT88-S1-Q12,deepseek/deepseek-r1,minimal,1,E,E,true,1317,
PT88-S1-Q12,deepseek/deepseek-r1,minimal,2,E,E,true,1841,
PT88-S1-Q12,deepseek/deepseek-r1,minimal,3,E,E,true,1226,
PT88-S1-Q13,deepseek/deepseek-r1,minimal,1,C,C,true,1439,
PT88-S1-Q13,deepseek/deepseek-r1,minimal,2,C,C,true,1843,
PT88-S1-Q13,deepseek/deepseek-r1,minimal,3,C,C,true,1523,
PT88-S1-Q14,deepseek/deepseek-r1,minimal,1,B,B,true,1101,
PT88-S1-Q14,deepseek/deepseek-r1,minimal,2,B,B,true,1272,
PT88-S1-Q14,deepseek/deepseek-r1,minimal,3,B,B,true,1330,
PT88-S1-Q15,deepseek/deepseek-r1,minimal,1,A,A,true,1453,
PT88-S1-Q15,deepseek/deepseek-r1,minimal,2,A,A,true,1560,
PT88-S1-Q15,deepseek/deepseek-r1,minimal,3,A,A,true,1125,
PT88-S1-Q16,deepseek/deepseek-r1,minimal,1,D,D,true,1116,
PT88-S1-Q16,deepseek/deepseek-r1,minimal,2,D,D,true,2084,
PT88-S1-Q16,deepseek/deepseek-r1,minimal,3,D,D,true,1739,
