questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT93-S1-Q01,deepseek/deepseek-r1,minimal,1,D,D,true,5244,
PT93-S1-Q01,deepseek/deepseek-r1,minimal,2,D,D,true,1633,
PT93-S1-Q01,deepseek/deepseek-r1,minimal,3,D,D,true,1305,
PT93-S1-Q02,deepseek/deepseek-r1,minimal,1,E,E,true,2097,
PT93-S1-Q02,deepseek/deepseek-r1,minimal,2,E,E,true,1230,
PT93-S1-Q02,deepseek/deepseek-r1,minimal,3,E,E,true,1315,
PT93-S1-Q03,deepseek/deepseek-r1,minimal,1,A,D,false,1864,
PT93-S1-Q03,deepseek/deepseek-r1,minimal,2,A,A,true,1869,
PT93-S1-Q03,deepseek/deepseek-r1,minimal,3,A,A,true,1286,
PT93-S1-Q04,deepseek/deepseek-r1,minimal,1,D,D,true,1893,
PT93-S1-Q04,deepseek/deepseek-r1,minimal,2,D,D,true,1309,
PT93-S1-Q04,deepseek/deepseek-r1,minimal,3,D,D,true,1398,
PT93-S1-Q05,deepseek/deepseek-r1,minimal,1,B,B,true,1393,
PT93-S1-Q05,deepseek/deepseek-r1,minimal,2,B,B,true,1444,
PT93-S1-Q05,deepseek/deepseek-r1,minimal,3,B,B,true,1346,
