questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT92-S2-Q01,deepseek/deepseek-r1,minimal,1,A,A,true,3356,
PT92-S2-Q01,deepseek/deepseek-r1,minimal,2,A,A,true,1368,
PT92-S2-Q01,deepseek/deepseek-r1,minimal,3,A,A,true,1816,
PT92-S2-Q02,deepseek/deepseek-r1,minimal,1,C,C,true,1665,
PT92-S2-Q02,deepseek/deepseek-r1,minimal,2,C,C,true,1409,
PT92-S2-Q02,deepseek/deepseek-r1,minimal,3,C,C,true,1194,
PT92-S2-Q03,deepseek/deepseek-r1,minimal,1,A,A,true,1430,
PT92-S2-Q03,deepseek/deepseek-r1,minimal,2,A,A,true,1252,
PT92-S2-Q03,deepseek/deepseek-r1,minimal,3,A,A,true,1744,
PT92-S2-Q04,deepseek/deepseek-r1,minimal,1,A,A,true,1701,
PT92-S2-Q04,deepseek/deepseek-r1,minimal,2,A,A,true,2278,
PT92-S2-Q04,deepseek/deepseek-r1,minimal,3,A,A,true,1324,
PT92-S2-Q05,deepseek/deepseek-r1,minimal,1,B,B,true,1429,
PT92-S2-Q05,deepseek/deepseek-r1,minimal,2,B,B,true,1959,
PT92-S2-Q05,deepseek/deepseek-r1,minimal,3,B,B,true,1509,
PT92-S2-Q06,deepseek/deepseek-r1,minimal,1,C,C,true,1639,
PT92-S2-Q06,deepseek/deepseek-r1,minimal,2,C,C,true,1231,
PT92-S2-Q06,deepseek/deepseek-r1,minimal,3,C,C,true,1274,
PT92-S2-Q07,deepseek/deepseek-r1,minimal,1,C,C,true,1621,
PT92-S2-Q07,deepseek/deepseek-r1,minimal,2,C,C,true,1208,
PT92-S2-Q07,deepseek/deepseek-r1,minimal,3,C,C,true,1182,
PT92-S2-Q08,deepseek/deepseek-r1,minimal,1,A,A,true,1745,
PT92-S2-Q08,deepseek/deepseek-r1,minimal,2,A,A,true,1441,
PT92-S2-Q08,deepseek/deepseek-r1,minimal,3,A,A,true,2830,
PT92-S2-Q09,deepseek/deepseek-r1,minimal,1,E,E,true,1272,
PT92-S2-Q09,deepseek/deepseek-r1,minimal,2,E,E,true,1496,
PT92-S2-Q09,deepseek/deepseek-r1,minimal,3,E,E,true,1500,
PT92-S2-Q10,deepseek/deepseek-r1,minimal,1,E,E,true,1307,
PT92-S2-Q10,deepseek/deepseek-r1,minimal,2,E,E,true,1897,
PT92-S2-Q10,deepseek/deepseek-r1,minimal,3,E,E,true,1262,
PT92-S2-Q11,deepseek/deepseek-r1,minimal,1,D,D,true,2111,
PT92-S2-Q11,deepseek/deepseek-r1,minimal,2,D,D,true,1088,
PT92-S2-Q11,deepseek/deepseek-r1,minimal,3,D,D,true,1721,
PT92-S2-Q12,deepseek/deepseek-r1,minimal,1,A,A,true,1279,
PT92-S2-Q12,deepseek/deepseek-r1,minimal,2,A,A,true,1086,
PT92-S2-Q12,deepseek/deepseek-r1,minimal,3,A,A,true,1596,
PT92-S2-Q13,deepseek/deepseek-r1,minimal,1,B,B,true,1811,
PT92-S2-Q13,deepseek/deepseek-r1,minimal,2,B,B,true,1226,
PT92-S2-Q13,deepseek/deepseek-r1,minimal,3,B,B,true,1079,
PT92-S2-Q14,deepseek/deepseek-r1,minimal,1,A,A,true,1102,
PT92-S2-Q14,deepseek/deepseek-r1,minimal,2,A,A,true,1541,
PT92-S2-Q14,deepseek/deepseek-r1,minimal,3,A,A,true,1757,
PT92-S2-Q15,deepseek/deepseek-r1,minimal,1,D,D,true,1435,
PT92-S2-Q15,deepseek/deepseek-r1,minimal,2,D,D,true,1225,
PT92-S2-Q15,deepseek/deepseek-r1,minimal,3,D,D,true,1522,
PT92-S2-Q16,deepseek/deepseek-r1,minimal,1,E,E,true,1245,
PT92-S2-Q16,deepseek/deepseek-r1,minimal,2,E,E,true,1755,
PT92-S2-Q16,deepseek/deepseek-r1,minimal,3,E,E,true,1318,
PT92-S2-Q17,deepseek/deepseek-r1,minimal,1,D,D,true,1235,
PT92-S2-Q17,deepseek/deepseek-r1,minimal,2,D,D,true,1499,
PT92-S2-Q17,deepseek/deepseek-r1,minimal,3,D,D,true,1236,
PT92-S2-Q18,deepseek/deepseek-r1,minimal,1,E,E,true,1557,
PT92-S2-Q18,deepseek/deepseek-r1,minimal,2,E,E,true,1700,
PT92-S2-Q18,deepseek/deepseek-r1,minimal,3,E,E,true,1408,
