questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT92-S2-Q01,deepseek/deepseek-r1,minimal,1,A,A,true,3356,
PT92-S2-Q01,deepseek/deepseek-r1,minimal,2,A,A,true,1368,
PT92-S2-Q01,deepseek/deepseek-r1,minimal,3,A,A,true,1816,
PT92-S2-Q02,deepseek/deepseek-r1,minimal,1,C,C,true,1665,
PT92-S2-Q02,deepseek/deepseek-r1,minimal,2,C,C,true,1409,
PT92-S2-Q02,deepseek/deepseek-r1,minimal,3,C,C,true,1194,
PT92-S2-Q03,deepseek/deepseek-r1,minimal,1,A,A,true,1430,
PT92-S2-Q03,deepseek/deepseek-r1,minimal,2,A,A,true,1252,
PT92-S2-Q03,deepseek/deepseek-r1,minimal,3,A,A,true,1744,
PT92-S2-Q04,deepseek/deepseek-r1,minimal,1,A,A,true,1701,
PT92-S2-Q04,deepseek/deepseek-r1,minimal,2,A,A,true,2278,
PT92-S2-Q04,deepseek/deepseek-r1,minimal,3,A,A,true,1324,
PT92-S2-Q05,deepseek/deepseek-r1,minimal,1,B,B,true,1429,
PT92-S2-Q05,deepseek/deepseek-r1,minimal,2,B,B,true,1959,
PT92-S2-Q05,deepseek/deepseek-r1,minimal,3,B,B,true,1509,
PT92-S2-Q06,deepseek/deepseek-r1,minimal,1,C,C,true,1639,
PT92-S2-Q06,deepseek/deepseek-r1,minimal,2,C,C,true,1231,
PT92-S2-Q06,deepseek/deepseek-r1,minimal,3,C,C,true,1274,
PT92-S2-Q07,deepseek/deepseek-r1,minimal,1,C,C,true,1621,
PT92-S2-Q07,deepseek/deepseek-r1,minimal,2,C,C,true,1208,
PT92-S2-Q07,deepseek/deepseek-r1,minimal,3,C,C,true,1182,
