questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT93-S1-Q01,deepseek/deepseek-r1,minimal,1,D,D,true,5244,
PT93-S1-Q01,deepseek/deepseek-r1,minimal,2,D,D,true,1633,
PT93-S1-Q01,deepseek/deepseek-r1,minimal,3,D,D,true,1305,
PT93-S1-Q02,deepseek/deepseek-r1,minimal,1,E,E,true,2097,
PT93-S1-Q02,deepseek/deepseek-r1,minimal,2,E,E,true,1230,
PT93-S1-Q02,deepseek/deepseek-r1,minimal,3,E,E,true,1315,
PT93-S1-Q03,deepseek/deepseek-r1,minimal,1,A,D,false,1864,
PT93-S1-Q03,deepseek/deepseek-r1,minimal,2,A,A,true,1869,
PT93-S1-Q03,deepseek/deepseek-r1,minimal,3,A,A,true,1286,
PT93-S1-Q04,deepseek/deepseek-r1,minimal,1,D,D,true,1893,
PT93-S1-Q04,deepseek/deepseek-r1,minimal,2,D,D,true,1309,
PT93-S1-Q04,deepseek/deepseek-r1,minimal,3,D,D,true,1398,
PT93-S1-Q05,deepseek/deepseek-r1,minimal,1,B,B,true,1393,
PT93-S1-Q05,deepseek/deepseek-r1,minimal,2,B,B,true,1444,
PT93-S1-Q05,deepseek/deepseek-r1,minimal,3,B,B,true,1346,
PT93-S1-Q06,deepseek/deepseek-r1,minimal,1,A,A,true,1655,
PT93-S1-Q06,deepseek/deepseek-r1,minimal,2,A,A,true,1318,
PT93-S1-Q06,deepseek/deepseek-r1,minimal,3,A,A,true,1502,
PT93-S1-Q07,deepseek/deepseek-r1,minimal,1,E,E,true,1504,
PT93-S1-Q07,deepseek/deepseek-r1,minimal,2,E,E,true,1499,
PT93-S1-Q07,deepseek/deepseek-r1,minimal,3,E,E,true,1375,
PT93-S1-Q08,deepseek/deepseek-r1,minimal,1,A,A,true,1413,
PT93-S1-Q08,deepseek/deepseek-r1,minimal,2,A,A,true,1096,
PT93-S1-Q08,deepseek/deepseek-r1,minimal,3,A,A,true,1563,
PT93-S1-Q09,deepseek/deepseek-r1,minimal,1,D,D,true,1480,
PT93-S1-Q09,deepseek/deepseek-r1,minimal,2,D,D,true,1172,
PT93-S1-Q09,deepseek/deepseek-r1,minimal,3,D,D,true,1237,
PT93-S1-Q10,deepseek/deepseek-r1,minimal,1,C,C,true,1422,
PT93-S1-Q10,deepseek/deepseek-r1,minimal,2,C,C,true,1420,
PT93-S1-Q10,deepseek/deepseek-r1,minimal,3,C,C,true,1505,
PT93-S1-Q11,deepseek/deepseek-r1,minimal,1,A,A,true,2054,
PT93-S1-Q11,deepseek/deepseek-r1,minimal,2,A,A,true,1570,
PT93-S1-Q11,deepseek/deepseek-r1,minimal,3,A,A,true,1215,
PT93-S1-Q12,deepseek/deepseek-r1,minimal,1,C,C,true,1341,
PT93-S1-Q12,deepseek/deepseek-r1,minimal,2,C,C,true,1299,
PT93-S1-Q12,deepseek/deepseek-r1,minimal,3,C,C,true,1978,
PT93-S1-Q13,deepseek/deepseek-r1,minimal,1,C,C,true,1422,
PT93-S1-Q13,deepseek/deepseek-r1,minimal,2,C,C,true,1227,
PT93-S1-Q13,deepseek/deepseek-r1,minimal,3,C,C,true,2772,
PT93-S1-Q14,deepseek/deepseek-r1,minimal,1,B,B,true,1559,
PT93-S1-Q14,deepseek/deepseek-r1,minimal,2,B,B,true,1788,
PT93-S1-Q14,deepseek/deepseek-r1,minimal,3,B,B,true,1672,
PT93-S1-Q15,deepseek/deepseek-r1,minimal,1,D,D,true,1470,
PT93-S1-Q15,deepseek/deepseek-r1,minimal,2,D,D,true,1757,
