questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT90-S1-Q01,deepseek/deepseek-r1,minimal,1,A,A,true,2478,
PT90-S1-Q01,deepseek/deepseek-r1,minimal,2,A,A,true,1367,
PT90-S1-Q01,deepseek/deepseek-r1,minimal,3,A,A,true,1230,
PT90-S1-Q02,deepseek/deepseek-r1,minimal,1,A,A,true,1368,
PT90-S1-Q02,deepseek/deepseek-r1,minimal,2,A,A,true,1341,
PT90-S1-Q02,deepseek/deepseek-r1,minimal,3,A,A,true,1641,
PT90-S1-Q03,deepseek/deepseek-r1,minimal,1,C,C,true,1281,
PT90-S1-Q03,deepseek/deepseek-r1,minimal,2,C,C,true,1591,
PT90-S1-Q03,deepseek/deepseek-r1,minimal,3,C,C,true,1675,
PT90-S1-Q04,deepseek/deepseek-r1,minimal,1,D,D,true,1110,
PT90-S1-Q04,deepseek/deepseek-r1,minimal,2,D,D,true,1143,
PT90-S1-Q04,deepseek/deepseek-r1,minimal,3,D,D,true,1893,
