questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT91-S1-Q01,deepseek/deepseek-r1,minimal,1,B,B,true,3040,
PT91-S1-Q01,deepseek/deepseek-r1,minimal,2,B,C,false,2016,
PT91-S1-Q01,deepseek/deepseek-r1,minimal,3,B,B,true,1265,
PT91-S1-Q02,deepseek/deepseek-r1,minimal,1,D,D,true,1268,
PT91-S1-Q02,deepseek/deepseek-r1,minimal,2,D,D,true,1327,
PT91-S1-Q02,deepseek/deepseek-r1,minimal,3,D,D,true,1544,
PT91-S1-Q03,deepseek/deepseek-r1,minimal,1,B,B,true,1848,
PT91-S1-Q03,deepseek/deepseek-r1,minimal,2,B,B,true,1705,
PT91-S1-Q03,deepseek/deepseek-r1,minimal,3,B,B,true,1808,
PT91-S1-Q04,deepseek/deepseek-r1,minimal,1,C,C,true,1469,
PT91-S1-Q04,deepseek/deepseek-r1,minimal,2,C,C,true,1906,
PT91-S1-Q04,deepseek/deepseek-r1,minimal,3,C,C,true,1417,
PT91-S1-Q05,deepseek/deepseek-r1,minimal,1,D,D,true,1455,
PT91-S1-Q05,deepseek/deepseek-r1,minimal,2,D,D,true,1603,
PT91-S1-Q05,deepseek/deepseek-r1,minimal,3,D,D,true,1694,
PT91-S1-Q06,deepseek/deepseek-r1,minimal,1,C,C,true,1091,
PT91-S1-Q06,deepseek/deepseek-r1,minimal,2,C,C,true,1683,
PT91-S1-Q06,deepseek/deepseek-r1,minimal,3,C,C,true,1390,
PT91-S1-Q07,deepseek/deepseek-r1,minimal,1,A,A,true,1382,
PT91-S1-Q07,deepseek/deepseek-r1,minimal,2,A,A,true,1332,
PT91-S1-Q07,deepseek/deepseek-r1,minimal,3,A,A,true,1329,
PT91-S1-Q08,deepseek/deepseek-r1,minimal,1,B,B,true,3835,
PT91-S1-Q08,deepseek/deepseek-r1,minimal,2,B,B,true,1907,
PT91-S1-Q08,deepseek/deepseek-r1,minimal,3,B,D,false,1173,
PT91-S1-Q09,deepseek/deepseek-r1,minimal,1,C,C,true,1673,
PT91-S1-Q09,deepseek/deepseek-r1,minimal,2,C,C,true,1597,
PT91-S1-Q09,deepseek/deepseek-r1,minimal,3,C,C,true,1746,
PT91-S1-Q10,deepseek/deepseek-r1,minimal,1,E,E,true,1546,
PT91-S1-Q10,deepseek/deepseek-r1,minimal,2,E,E,true,1888,
PT91-S1-Q10,deepseek/deepseek-r1,minimal,3,E,E,true,1324,
