run_id,case_id,correct_label,chosen_label,model,temperature,stream,ok,status,content_type,method,faithfulness_check,core_ok,method_preferred,red_flags
20260309_093846,T1,D,E,openai/gpt-5.2-chat,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,openai/gpt-5.2-chat,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,openai/gpt-5.2-chat,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,openai/gpt-5.2-chat,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,openai/gpt-5.4,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,openai/gpt-5.4,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,openai/gpt-5.4,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,openai/gpt-5.4,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,anthropic/claude-sonnet-4.5,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,anthropic/claude-sonnet-4.5,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,anthropic/claude-sonnet-4.5,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T1,D,E,anthropic/claude-sonnet-4.5,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,openai/gpt-5.2-chat,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,openai/gpt-5.2-chat,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,openai/gpt-5.2-chat,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,openai/gpt-5.2-chat,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,openai/gpt-5.4,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,openai/gpt-5.4,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,openai/gpt-5.4,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,openai/gpt-5.4,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,anthropic/claude-sonnet-4.5,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,anthropic/claude-sonnet-4.5,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,anthropic/claude-sonnet-4.5,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,T2,D,B,anthropic/claude-sonnet-4.5,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,openai/gpt-5.2-chat,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,openai/gpt-5.2-chat,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,openai/gpt-5.2-chat,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,openai/gpt-5.2-chat,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,openai/gpt-5.4,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,openai/gpt-5.4,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,openai/gpt-5.4,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,openai/gpt-5.4,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,anthropic/claude-sonnet-4.5,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,anthropic/claude-sonnet-4.5,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,anthropic/claude-sonnet-4.5,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F1,E,D,anthropic/claude-sonnet-4.5,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,openai/gpt-5.2-chat,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,openai/gpt-5.2-chat,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,openai/gpt-5.2-chat,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,openai/gpt-5.2-chat,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,openai/gpt-5.4,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,openai/gpt-5.4,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,openai/gpt-5.4,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,openai/gpt-5.4,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,anthropic/claude-sonnet-4.5,0,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,anthropic/claude-sonnet-4.5,0,true,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,anthropic/claude-sonnet-4.5,0.3,false,false,400,application/json,,,false,false,core_missing_readership_anchor
20260309_093846,F2,E,B,anthropic/claude-sonnet-4.5,0.3,true,false,400,application/json,,,false,false,core_missing_readership_anchor
